


江苏移动,#genre# 
CCTV7HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8
CCTV8HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227667/index.m3u8
CCTV8HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227750/index.m3u8
CCTV9HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227659/index.m3u8
CCTV9HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227704/index.m3u8
CCTV10HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227717/index.m3u8
CCTV11HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227720/index.m3u8
CCTV12HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8
CCTV14HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227656/index.m3u8
CCTV17HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227726/index.m3u8
北京卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227652/index.m3u8
东方卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227732/index.m3u8
东方卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227688/index.m3u8
浙江卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227744/index.m3u8
浙江卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227692/index.m3u8
湖南卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227735/index.m3u8
江苏卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227668/index.m3u8
江苏卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227689/index.m3u8
安徽卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227653/index.m3u8
黑龙江卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227662/index.m3u8
湖北卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227665/index.m3u8
江西卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227738/index.m3u8
天津卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227741/index.m3u8
天津卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227756/index.m3u8
安徽卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227759/index.m3u8
东南卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227670/index.m3u8
山东卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227671/index.m3u8
广东卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227673/index.m3u8
深圳卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227677/index.m3u8
深圳卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227695/index.m3u8
纪实人文HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227674/index.m3u8
辽宁卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227676/index.m3u8
辽宁卫视HEVC5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227700/index.m3u8
重庆卫视HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227729/index.m3u8
冬奥纪实HEVC5.5M,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227711/index.m3u8

CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228149/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227634/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227644/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227675/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227725/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228049/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228075/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228146/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228245/index.m3u8
CCTV1,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227467/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227569/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227696/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227708/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8
CCTV2,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228248/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227481/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227623/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227650/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228174/index.m3u8
CCTV3,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228188/index.m3u8
CCTV4,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228091/index.m3u8
CCTV4,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227549/index.m3u8
CCTV4,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227658/index.m3u8
CCTV4,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228142/index.m3u8
CCTV4,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228179/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227452/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227478/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227640/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227661/index.m3u8
CCTV5,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
